cgpa,internships,projects_count,github_activity_score,leetcode_rating,codechef_rating,coding_score,aptitude_score,communication_score,attendance_percentage,certifications_count,project_impact_score,certification_impact_score,placement_score
9.6,0,0,7,1512,1459,16.3,49,85,77,1,81,56,73.25
6.0,2,3,71,989,1119,6.8,72,81,67,3,56,45,73.11
6.7,1,4,75,1981,1723,27.2,59,73,61,5,55,74,83.12
6.6,3,4,49,1123,1379,9.5,52,78,81,1,63,14,74.8
8.6,2,2,47,1095,1183,7.3,74,50,68,1,65,50,75.99
7.1,4,2,33,0,0,0.1,50,37,82,3,56,60,68.98
9.0,1,4,63,1518,1496,17.9,49,81,77,0,63,23,81.3
6.7,2,0,0,1463,2200,25.8,60,81,88,4,63,73,76.99
7.8,1,4,38,1911,1837,27.5,76,89,85,2,46,71,84.96
6.5,2,0,20,1417,1557,16.3,64,32,84,2,46,61,65.84
10.0,1,3,46,1414,0,12.4,53,70,68,3,64,45,82.7
6.1,0,0,17,1694,1742,25.5,50,39,56,2,62,26,50.65
7.9,1,7,100,1784,0,21.3,56,60,90,4,71,51,91.18
8.3,1,2,30,916,900,5.7,69,77,78,5,40,71,73.35
8.0,3,2,30,1519,0,15.3,40,69,76,1,71,80,80.69
7.3,2,1,48,2146,2110,36.6,48,37,75,2,100,65,76.98
7.3,2,4,58,1312,1630,17.7,74,58,83,3,68,27,81.25
7.6,0,6,69,1545,1945,24.4,45,53,89,2,86,56,81.72
7.3,2,2,45,1805,2200,31.2,49,76,72,2,60,61,77.05
8.7,1,1,18,1645,0,17.6,59,53,61,4,51,33,71.62
10.0,3,1,9,1184,1446,11.3,45,72,95,3,69,54,82.12
6.8,3,0,11,1479,1548,17.2,51,54,81,2,49,72,67.64
5.9,0,4,70,1128,900,6.4,62,85,82,0,53,54,70.46
7.4,3,1,4,1179,900,7.1,72,72,51,2,59,39,71.13
10.0,0,3,28,1832,0,22.3,46,67,80,1,43,64,75.87
6.5,1,4,56,1756,1720,24.4,45,53,58,1,87,53,71.7
9.5,1,6,65,2035,0,29.1,80,67,75,1,93,75,98.0
9.5,0,3,26,0,900,4.7,48,100,84,2,86,30,77.62
6.8,2,6,82,1777,2148,30.9,46,69,81,4,58,55,84.86
8.2,0,3,62,1457,1410,16.5,24,69,85,2,66,25,70.09
9.5,0,2,45,1195,1577,16.2,79,79,72,0,100,36,79.25
7.0,1,4,56,1919,2025,33.5,84,69,68,3,47,75,89.41
7.3,2,1,41,1687,1196,16.1,59,72,74,4,50,81,79.7
6.8,3,5,96,1739,1231,16.9,63,70,77,4,74,97,98.0
6.3,2,4,65,1671,1756,24.3,60,42,72,3,62,49,75.06
6.7,2,1,16,1855,1816,28.6,40,38,76,1,51,85,65.02
6.0,1,2,57,1042,900,6.4,71,68,78,3,56,80,69.79
7.5,0,2,56,1135,1244,9.2,84,67,80,1,38,49,74.82
6.6,0,3,49,1238,1785,16.5,59,50,99,2,47,61,65.94
7.8,1,1,40,1609,0,16.1,72,51,68,3,48,52,71.27
5.6,2,4,46,1362,1256,11.0,44,64,85,2,14,71,67.12
7.9,1,1,0,1838,0,23.6,42,71,78,2,39,33,67.96
8.5,2,3,31,1495,1198,12.1,68,41,96,2,67,44,79.08
5.1,1,5,73,2195,2200,37.2,87,55,69,3,65,63,80.91
7.9,0,1,20,2014,0,27.3,49,61,75,1,41,57,68.98
9.0,0,0,24,0,900,3.3,56,62,74,0,51,53,63.64
6.0,3,4,35,1541,1438,19.0,69,40,57,1,65,35,74.34
9.5,2,2,12,1092,1493,11.1,51,56,78,1,73,35,71.55
8.0,3,2,45,1706,1350,17.8,68,58,79,3,66,53,87.16
6.7,0,4,36,1166,1337,11.2,42,29,71,2,67,23,58.54
7.4,5,2,29,1207,0,6.4,67,78,57,0,43,66,81.57
8.2,0,1,22,1381,1196,11.6,55,62,86,2,55,71,65.22
7.6,0,2,24,1376,1527,14.3,31,53,95,0,29,60,55.74
8.1,5,0,18,1665,1622,22.1,41,47,90,1,90,55,79.41
6.4,1,2,3,1598,1801,23.3,65,62,78,1,34,49,63.99
7.7,2,2,61,1197,954,6.0,84,35,76,2,64,28,71.83
5.8,0,0,5,1411,1478,16.8,36,68,90,2,46,71,53.75
7.4,1,1,19,1092,1110,8.3,78,74,90,2,56,60,65.45
6.4,3,3,86,1620,0,17.4,67,48,79,3,68,87,81.99
6.6,1,0,0,941,900,5.7,77,23,78,1,36,54,51.94
9.0,2,1,6,1429,1249,13.7,57,56,84,4,70,60,70.82
8.8,0,1,43,1306,1452,15.5,71,60,79,1,73,40,74.32
8.2,2,3,22,1663,2100,27.3,93,62,91,1,62,63,89.94
6.2,1,5,77,0,900,2.6,63,86,83,3,85,70,83.51
7.1,0,2,24,1257,1357,10.6,42,66,85,1,94,77,63.4
9.0,1,4,33,1245,1033,7.4,86,93,84,1,78,70,87.44
7.7,0,3,53,1618,1692,22.4,69,75,77,2,73,50,78.28
10.0,3,1,30,1634,1780,22.0,64,75,96,5,29,43,88.22
8.0,1,3,46,1186,1631,14.2,92,65,77,3,81,77,84.56
7.7,0,4,89,0,900,5.7,85,31,76,2,65,50,75.11
7.1,1,0,0,1676,0,20.0,68,27,75,3,70,54,59.79
7.7,1,1,34,2237,2200,41.4,43,74,95,0,63,46,75.71
7.3,2,1,26,1358,0,8.4,53,60,61,4,36,97,72.9
8.3,4,1,36,1131,1253,9.9,63,80,71,0,54,59,79.69
8.6,1,3,38,0,900,3.3,59,40,85,3,87,74,72.45
6.6,3,1,1,1516,1430,17.7,51,64,81,4,100,88,77.53
5.9,1,5,59,1085,1166,7.6,56,64,80,5,58,72,74.33
5.3,0,0,9,1422,1326,14.2,78,45,82,1,27,46,47.02
8.1,2,2,44,1348,1393,14.5,63,46,89,1,62,32,72.37
6.2,1,2,34,1707,1770,24.1,51,41,80,1,67,47,67.38
4.9,2,2,37,973,0,4.7,71,42,79,4,73,69,65.11
8.0,3,4,83,0,900,0.7,70,55,91,5,89,75,93.52
10.0,1,2,33,1026,1233,6.5,59,59,80,2,71,52,73.85
7.5,3,2,26,1614,0,15.9,40,67,85,4,49,52,72.82
8.5,2,1,28,1662,1495,20.4,57,62,52,3,65,55,79.2
7.6,1,2,8,855,900,4.6,59,42,73,4,41,56,62.6
7.4,2,1,0,0,900,2.8,75,70,71,0,32,71,67.5
8.6,1,3,43,1956,2200,34.7,47,46,70,1,88,74,82.2
7.2,5,1,8,1762,0,18.9,55,55,74,7,77,80,82.95
7.8,2,4,48,1298,1070,9.1,87,46,74,0,32,42,75.72
7.9,0,1,36,1528,0,14.6,55,52,86,0,80,55,64.65
6.7,1,1,29,908,900,2.4,59,51,70,2,61,76,57.32
8.7,2,3,44,1711,2200,30.9,92,58,87,1,85,56,93.4
7.3,0,1,23,1246,1268,9.1,43,57,85,7,28,77,67.44
6.6,0,2,27,1393,1171,13.6,83,58,67,3,51,68,65.19
8.1,1,3,58,1467,1380,16.7,53,80,63,1,54,54,81.89
6.4,1,8,100,1862,1547,23.9,63,42,75,4,83,72,90.01
7.5,1,1,36,1640,1686,22.9,65,15,89,3,60,37,60.65
7.5,1,3,60,1392,1354,12.9,55,44,81,1,27,46,64.79
8.8,0,1,22,1323,1601,16.5,43,83,96,1,49,74,63.97
8.1,2,3,35,1567,0,14.4,48,73,63,0,58,49,76.09
7.5,1,3,43,1474,1564,18.1,56,49,65,1,55,68,69.48
8.5,0,1,23,1427,0,12.1,45,58,66,1,53,46,62.03
9.2,1,4,47,1501,1286,14.6,59,34,85,1,100,62,79.44
8.2,1,4,82,1418,1507,15.4,46,50,84,2,68,42,78.67
7.5,0,0,34,1030,1009,4.9,43,49,83,1,26,57,56.71
5.9,0,4,56,0,900,2.4,31,69,80,2,82,34,65.35
6.2,0,0,25,1482,1582,19.6,90,55,92,0,70,75,63.3
7.1,3,0,18,0,900,2.0,58,43,77,2,67,71,63.52
6.8,2,1,14,1493,1715,18.7,47,37,89,3,45,74,65.43
7.3,2,2,40,1539,1611,20.3,42,74,100,2,83,49,76.09
7.6,2,3,34,1198,0,4.1,50,59,71,0,77,53,71.14
8.1,2,2,20,1260,1496,12.8,26,48,73,5,76,64,73.18
7.4,1,3,53,1991,0,24.6,49,77,58,1,75,10,72.08
8.1,2,3,53,1277,1051,8.6,72,75,84,1,84,41,77.17
7.6,0,0,50,1652,1470,18.2,48,54,74,2,56,52,63.5
5.1,2,1,19,1260,1291,11.2,71,35,77,2,65,60,66.91
6.4,2,1,14,932,0,6.8,76,81,98,3,51,54,70.28
7.3,1,1,35,1468,1387,14.8,71,71,84,3,51,70,71.18
6.0,1,2,33,1683,1484,21.0,60,54,69,3,93,51,68.08
8.2,1,4,48,1399,1442,15.9,81,44,74,1,61,71,80.81
9.3,2,3,37,901,956,4.4,80,74,70,2,61,63,82.34
9.0,2,5,67,830,900,5.5,47,49,81,2,68,61,89.99
7.2,3,0,25,1846,0,23.0,44,70,79,4,60,46,71.14
9.3,1,3,52,1495,1354,15.7,52,75,91,1,40,67,78.72
7.7,2,1,9,1682,1751,24.8,54,51,81,0,44,70,72.75
7.1,1,2,61,1569,0,14.6,81,68,75,3,59,79,80.17
6.8,3,1,8,0,900,4.6,74,51,80,2,60,55,73.17
7.1,1,1,10,1154,1061,5.3,62,76,67,2,36,62,67.37
7.0,1,3,63,1423,1556,17.7,63,52,73,1,74,56,75.95
7.7,1,2,56,990,900,4.8,40,73,79,0,51,17,61.93
7.7,2,3,51,1783,2116,31.6,79,100,93,1,68,68,90.09
7.5,4,3,26,1595,1421,17.3,63,48,86,5,86,61,82.09
8.0,0,1,23,1722,1385,19.8,41,41,80,1,62,56,60.57
8.9,0,4,37,1887,1714,24.8,29,67,83,6,81,53,77.12
8.6,4,3,83,1393,1754,19.1,37,73,89,3,47,32,87.11
5.7,1,3,50,1277,1435,11.2,61,42,77,1,38,65,66.06
4.4,2,3,58,1468,1915,23.5,14,50,87,1,82,68,65.28
8.6,1,6,76,1880,0,22.9,38,52,74,1,100,51,81.05
5.9,0,3,73,1030,1369,9.0,68,32,81,2,91,63,68.45
7.2,2,4,50,1506,1416,15.6,52,64,89,1,52,34,70.81
6.1,2,5,57,1741,0,20.8,28,57,88,1,64,54,72.64
5.3,1,1,26,1592,1683,21.0,48,37,60,1,22,60,49.98
8.1,1,4,71,1821,1839,27.7,58,49,80,1,55,77,80.4
8.4,3,0,41,1039,1164,7.4,76,58,85,3,52,62,76.09
6.8,0,1,46,1826,2034,29.1,68,57,73,2,65,35,69.76
4.4,3,3,63,1312,1412,12.6,67,29,87,1,67,86,67.4
6.8,1,2,23,871,0,3.6,72,48,67,1,80,63,64.65
8.0,1,3,35,1401,1388,15.2,29,81,69,1,83,63,70.98
5.7,4,7,80,0,900,2.9,82,65,50,2,82,54,86.93
7.7,2,5,67,1248,900,4.8,82,56,74,4,87,40,86.69
7.5,1,3,17,1450,0,13.7,48,79,56,2,67,58,69.1
8.2,2,3,66,1044,0,5.5,10,60,89,2,86,50,69.41
7.6,1,3,30,0,900,2.5,83,56,97,0,89,66,76.32
6.3,1,1,4,1463,1632,19.4,10,62,68,3,63,51,57.07
8.9,5,4,51,1327,1228,11.6,66,68,76,5,78,50,96.18
7.3,2,5,49,2096,2044,32.5,51,82,79,0,82,54,86.98
7.5,2,5,79,1552,1009,12.3,49,44,69,1,70,48,77.2
6.4,1,1,7,1568,1723,22.1,52,69,82,3,81,54,63.39
7.0,0,1,29,1431,1296,14.1,62,56,76,0,29,45,59.66
6.4,0,0,23,1874,1366,21.7,21,37,64,0,58,66,53.16
7.3,1,1,13,1645,1293,18.7,56,66,82,2,69,37,67.68
9.6,2,1,11,1953,1980,31.0,34,61,83,1,58,53,77.79
5.9,1,0,0,1816,1644,24.9,50,77,57,1,46,42,56.31
5.6,3,5,53,1384,1180,12.3,62,42,77,1,95,42,74.88
9.3,0,1,15,1718,1609,21.6,75,57,73,0,34,36,71.7
7.2,1,1,23,1744,960,14.2,46,62,80,2,72,82,69.73
6.7,0,2,13,1783,1379,21.7,92,31,91,2,56,47,66.77
8.7,1,7,84,1620,1780,24.7,43,81,89,1,58,56,89.42
6.8,0,5,72,1096,1224,7.7,44,77,88,3,78,86,76.88
9.7,4,4,58,1491,1630,19.6,78,79,79,2,48,62,98.0
8.3,0,1,0,1533,1684,20.8,55,66,75,1,39,22,58.85
6.9,4,4,67,0,900,2.5,63,69,57,4,66,76,81.43
10.0,1,1,40,1521,1880,21.1,51,73,86,1,78,38,82.62
6.8,5,1,13,1844,1994,30.9,53,73,87,3,76,28,78.02
8.4,1,5,43,1307,1316,13.6,66,92,61,0,80,58,83.39
7.9,4,3,34,1540,1925,22.9,82,61,82,3,77,59,92.43
9.1,0,4,46,1479,1612,17.2,62,62,88,1,82,51,78.74
9.4,2,5,87,1705,1848,25.7,67,64,69,2,54,60,93.2
7.5,3,2,17,2043,1917,32.0,77,42,85,4,95,55,85.51
6.6,0,2,28,1686,0,19.0,51,60,66,0,52,57,62.85
8.1,0,2,59,1666,1380,19.9,42,37,73,0,35,65,68.64
6.7,1,2,36,1194,900,5.9,41,78,66,5,32,63,65.41
9.9,4,6,84,1036,900,4.9,44,89,86,2,39,51,93.11
7.7,1,2,32,1576,1520,17.8,41,48,86,1,46,40,65.02
7.1,1,1,36,0,900,2.1,79,43,72,1,52,63,64.47
7.7,0,1,28,1444,1552,17.9,26,76,65,4,49,83,62.79
5.9,0,3,73,0,900,5.0,70,32,100,2,60,53,65.53
6.3,3,4,87,1638,1421,18.8,37,43,78,2,54,66,74.01
8.9,0,1,26,0,900,2.2,92,49,77,3,66,52,76.0
6.7,2,6,81,1316,1824,17.6,67,65,70,0,90,47,83.32
6.2,3,2,36,0,0,0.0,44,64,68,1,70,77,62.14
8.1,0,3,37,1920,1826,26.8,50,66,83,6,26,60,76.14
8.9,2,5,72,1141,900,5.7,58,63,81,2,79,70,90.2
8.4,0,0,0,1441,1112,11.0,71,74,72,2,49,48,62.73
8.7,2,5,59,1382,1546,16.5,66,65,86,1,65,22,82.09
6.6,0,4,69,1829,0,24.0,59,82,75,2,94,74,84.88
5.8,2,2,42,1430,1879,20.9,47,71,84,0,72,76,76.41
9.3,1,3,44,1326,1342,13.3,54,53,81,3,39,53,78.85
7.1,1,2,40,1524,0,16.3,84,53,76,0,84,71,73.52
7.2,1,3,68,1263,1206,11.3,98,56,85,1,48,38,75.8
9.1,0,5,64,0,900,2.8,79,50,89,3,66,82,84.44
8.2,2,1,0,1493,1396,17.2,42,80,88,4,56,58,74.49
8.0,1,3,55,1461,1460,15.1,85,74,63,1,37,43,77.43
10.0,2,2,42,2366,2200,41.2,54,63,88,2,56,40,86.82
6.7,0,3,57,1361,900,8.3,60,65,82,3,45,89,68.93
8.6,2,2,16,1473,1305,13.4,37,56,84,1,57,54,67.06
7.6,0,3,23,1565,1880,23.5,62,76,56,3,78,82,75.45
7.8,1,2,37,0,900,4.2,45,58,63,4,96,60,71.92
9.3,0,3,48,1581,1261,15.6,84,34,75,1,97,54,80.24
8.1,2,2,28,1812,1493,22.6,100,42,59,2,45,39,75.75
8.1,1,1,43,0,900,4.1,59,82,95,3,98,87,82.1
8.8,3,2,33,2076,2200,36.9,68,61,69,1,47,47,85.08
7.1,3,0,28,1259,1313,11.0,54,65,66,2,31,65,70.59
6.5,0,5,83,1631,0,17.8,62,55,73,4,71,41,76.03
6.2,2,5,53,1450,1272,13.2,49,34,75,2,66,54,70.42
5.1,0,4,44,1599,1852,23.0,65,36,80,2,57,63,65.0
10.0,1,2,14,1833,1757,26.0,67,85,55,1,49,50,79.87
6.2,2,4,64,0,900,1.5,65,73,64,3,89,51,77.08
7.2,2,3,47,1988,2078,32.4,73,38,72,0,65,14,74.02
7.2,2,0,30,1762,1826,25.3,53,79,83,1,40,57,70.5
7.9,1,0,18,1594,0,18.1,100,54,75,1,28,53,68.74
8.5,1,1,2,1807,1610,23.5,48,67,79,2,40,39,66.13
8.5,0,3,39,1247,1092,9.1,48,64,89,1,58,59,76.08
6.8,2,3,14,1282,1258,9.9,14,69,77,3,66,81,69.85
7.3,1,3,50,1550,0,15.4,73,73,82,2,72,37,76.18
7.8,2,3,87,1849,2054,30.2,10,56,77,0,67,23,74.26
7.2,0,4,59,1411,1293,13.5,53,77,91,4,80,37,80.39
9.4,1,1,25,1442,0,15.7,46,89,84,3,55,56,80.38
8.1,1,3,45,905,900,4.0,34,69,50,3,71,45,71.27
8.4,0,6,87,2216,2200,38.8,61,47,81,1,61,73,87.73
8.3,1,1,19,1431,1488,15.0,91,71,97,1,70,37,75.7
8.9,3,3,55,800,1258,8.9,73,57,90,4,73,67,89.77
7.7,3,5,58,1550,0,17.7,46,56,73,1,94,39,83.03
5.9,1,2,23,1641,1839,23.3,95,42,85,2,84,51,68.92
8.0,1,4,38,1431,1268,12.9,46,85,69,0,100,35,81.21
6.7,0,1,21,1226,0,7.5,79,57,76,1,87,62,66.06
6.9,3,1,5,1769,1897,27.3,28,81,70,3,65,70,73.75
8.2,0,0,31,0,900,3.4,55,75,79,0,80,61,62.48
9.0,4,1,15,1734,1486,20.8,38,53,98,1,90,50,82.6
7.5,1,3,16,0,900,3.0,97,49,61,1,56,24,62.36
7.9,1,3,28,1657,1805,25.6,47,60,85,0,48,39,67.08
9.5,4,3,48,1270,1142,9.2,41,67,70,3,38,91,89.47
7.8,0,2,43,1317,1642,17.8,68,56,69,3,61,57,73.48
10.0,1,1,27,1394,919,8.4,55,86,82,4,39,57,73.6
8.2,1,3,33,1375,1918,21.1,98,65,78,2,100,80,88.93
5.4,0,1,13,1687,2016,27.2,65,59,81,2,21,58,60.29
8.4,1,1,11,0,900,3.6,61,47,77,3,49,57,63.08
8.0,2,2,42,1381,1275,13.0,72,34,76,3,83,69,79.38
9.0,2,4,59,1215,1206,11.8,56,80,78,3,73,86,90.29
8.3,0,0,3,1626,1438,22.0,64,48,77,6,69,50,68.38
7.3,4,2,24,2212,0,33.7,44,56,75,1,44,33,75.99
6.0,0,1,14,1263,1468,14.6,48,56,78,1,32,44,51.74
7.2,0,2,34,1287,1109,7.1,43,63,72,1,74,55,67.39
6.5,1,3,66,1463,1698,19.5,67,51,92,4,75,72,80.9
6.8,0,5,72,1726,1664,23.0,48,46,61,2,88,80,79.47
8.2,0,2,28,1669,1942,25.7,74,55,63,2,60,46,72.07
9.5,5,4,51,1464,1804,22.0,44,40,93,2,100,50,94.37
8.0,1,5,95,1369,0,13.5,42,70,85,2,78,77,86.75
6.1,0,2,46,2129,1601,29.1,64,66,65,1,76,60,71.6
8.0,0,3,60,1843,1884,29.0,62,70,85,1,75,50,79.86
8.9,2,2,45,2020,2084,34.2,75,67,70,3,26,57,85.31
6.8,3,4,57,1710,1404,19.7,38,77,82,0,79,75,81.62
7.3,1,4,75,1471,0,13.8,32,80,77,2,83,100,82.44
7.5,0,2,11,1619,0,19.9,81,78,82,4,80,91,77.42
6.6,0,2,57,2041,2200,34.4,35,58,79,1,50,56,64.83
8.3,0,6,93,1654,1470,20.1,74,62,69,2,96,64,88.7
7.4,0,0,17,0,900,2.8,17,62,72,2,32,73,50.76
8.0,1,1,10,984,0,5.1,70,52,78,3,65,36,62.88
6.4,0,5,83,1920,1688,27.5,59,61,63,4,64,59,76.18
7.0,1,3,63,1949,2145,33.2,67,61,71,2,44,47,81.45
8.4,1,0,0,1871,0,26.1,73,78,75,1,36,61,72.47
7.1,4,1,11,1097,1042,4.4,77,82,78,0,78,32,77.26
9.6,3,2,18,0,900,3.3,68,72,71,4,82,93,86.77
7.0,1,2,42,1616,1609,20.8,75,71,85,4,52,68,71.9
7.8,1,2,32,1807,1646,25.4,80,62,62,2,59,52,77.38
8.6,1,2,65,1504,1683,20.2,82,77,78,1,38,52,83.34
5.8,1,2,10,1614,1849,25.2,69,70,83,1,81,68,70.03
5.4,2,4,44,0,900,2.7,42,78,100,2,89,33,70.27
5.7,1,2,34,1667,1555,20.0,55,25,64,1,37,41,52.24
9.0,3,1,31,1252,0,7.9,58,75,58,1,25,68,80.73
6.8,4,1,31,1641,1694,22.9,47,55,87,1,91,43,79.35
10.0,1,2,35,1204,1296,10.4,39,77,82,1,76,74,83.42
6.8,1,2,39,1469,1563,17.9,76,67,81,1,66,51,67.78
7.7,0,3,47,0,0,0.0,65,49,58,1,55,52,66.17
9.4,0,2,49,1327,1354,13.9,47,40,75,2,52,48,72.55
9.9,1,1,13,1762,2200,32.2,60,74,80,3,59,72,84.08
10.0,0,5,63,1700,1919,27.0,65,63,64,3,97,67,91.94
9.0,3,3,56,1670,1897,25.5,39,77,63,2,54,53,87.68
8.7,0,3,69,1584,1605,20.2,45,62,71,2,86,72,81.33
8.2,1,4,48,1630,0,18.8,54,75,69,3,57,39,80.52
8.4,2,4,61,2102,1949,34.2,57,70,84,0,44,42,82.19
6.8,2,3,40,1897,1942,31.0,31,37,72,1,66,45,71.93
6.5,1,2,42,1211,0,7.2,73,59,67,1,76,38,70.78
7.5,3,4,33,1339,1289,12.0,60,61,99,2,87,61,84.21
7.3,1,1,16,1437,1344,16.8,55,56,83,2,39,36,64.57
7.0,1,1,13,1427,1169,10.6,47,69,82,1,86,39,60.7
8.3,0,1,16,1251,1379,11.4,41,50,68,4,40,62,61.34
8.6,1,3,7,1676,1408,18.9,60,89,67,2,73,37,73.79
7.6,3,4,88,1481,0,17.9,62,40,74,0,49,62,89.3
9.3,2,6,44,1565,1635,19.8,95,44,91,2,84,82,96.42
6.1,3,3,53,0,900,2.6,97,67,66,1,63,64,80.76
7.3,1,2,14,987,1288,8.5,50,95,58,0,58,49,66.18
6.6,0,3,27,1028,1425,11.5,42,49,61,1,82,37,51.94
5.3,0,5,72,1337,900,7.9,37,62,59,4,87,54,64.59
7.4,1,2,44,1682,1310,18.4,61,79,70,2,74,42,71.92
7.4,2,0,0,1643,1789,24.2,37,58,90,1,16,75,62.51
9.3,2,3,29,0,900,4.8,35,59,58,3,66,66,74.27
8.3,1,2,14,0,900,4.0,46,85,77,1,87,52,74.18
6.3,1,2,37,1802,1907,26.5,49,63,71,4,53,75,68.35
9.7,1,5,54,1289,900,7.8,46,77,76,3,100,31,86.94
9.0,1,3,65,0,900,4.3,30,46,71,1,84,51,70.98
8.2,0,3,28,1705,0,19.4,58,71,55,2,59,94,77.1
7.2,0,0,18,1959,2056,31.7,58,76,73,3,49,68,69.48
6.3,0,2,57,1777,1392,19.9,84,66,87,1,25,22,64.26
7.1,0,1,23,1112,1058,7.4,37,69,79,3,59,53,60.14
8.8,0,6,55,1832,1636,25.3,69,91,75,1,61,53,85.81
9.8,0,3,52,1597,1490,18.4,92,77,85,6,38,83,94.29
9.4,2,2,30,1636,1557,20.7,33,86,75,4,90,35,81.57
6.9,1,1,21,2248,2200,39.4,40,72,70,3,44,62,71.08
6.2,4,2,57,1573,1685,22.3,37,49,69,2,98,50,77.47
7.7,0,3,46,1689,0,18.6,68,66,75,2,34,61,70.75
5.4,1,5,77,1528,1343,17.5,67,64,92,2,44,71,79.47
7.9,1,1,12,1427,1528,18.2,77,26,67,2,66,68,66.57
7.3,0,0,5,1609,0,17.6,61,64,67,3,67,67,59.95
6.9,3,0,26,1368,1203,10.2,92,79,87,1,93,14,76.95
5.6,0,5,72,0,900,3.1,69,41,79,2,63,39,63.88
8.1,4,1,26,1543,1550,18.3,82,46,92,1,55,36,84.49
6.9,3,3,61,1409,1297,12.7,62,65,92,0,90,90,85.41
6.1,1,1,46,876,1139,5.3,53,39,86,1,53,61,61.98
4.1,1,5,52,1352,1475,13.8,56,69,85,2,81,51,64.03
7.5,2,5,62,1786,0,21.5,84,53,78,2,43,68,89.01
9.6,1,0,31,1655,1592,21.0,74,79,59,1,75,42,78.76
9.5,2,3,75,1429,1605,17.7,73,53,69,1,100,56,88.42
7.0,0,2,30,1529,1893,24.9,77,92,70,1,48,71,74.97
6.8,0,3,50,1258,1034,6.7,64,95,88,3,100,72,76.93
8.1,1,3,51,1290,1200,11.8,100,81,95,0,88,85,86.52
6.3,1,5,73,1502,1808,21.2,55,47,78,2,93,62,80.52
7.9,3,1,25,1435,1603,16.3,61,62,80,2,63,59,72.94
8.4,0,2,54,1273,0,6.5,51,33,71,5,65,100,69.81
9.0,3,0,0,0,0,2.1,68,87,75,1,64,45,76.75
7.4,0,5,60,0,900,3.2,28,63,73,0,80,96,71.52
7.3,1,5,79,0,900,3.7,10,59,95,2,32,54,64.51
6.4,1,2,26,1479,0,14.9,48,44,93,2,67,58,64.97
6.5,1,5,74,1166,0,7.6,70,74,64,2,100,62,82.56
7.2,0,0,26,1972,1513,25.0,78,69,79,2,66,32,65.48
7.9,1,3,70,1768,1428,19.4,37,63,75,4,40,59,70.59
8.6,3,4,62,848,900,6.7,30,72,40,2,64,42,76.9
6.5,1,6,100,0,900,4.1,46,89,91,2,100,68,87.59
9.3,1,3,48,1751,1664,24.4,46,52,100,3,75,53,81.66
7.2,3,3,41,1388,0,10.1,63,40,87,3,90,60,76.39
7.5,2,2,10,1335,1338,15.2,62,49,74,3,72,57,73.45
6.6,1,4,42,1725,1299,19.6,86,78,90,1,93,41,79.09
4.6,1,0,10,1457,1722,19.0,52,57,82,1,66,70,57.14
8.6,3,3,46,1383,1566,15.4,36,52,97,1,72,75,81.25
8.4,1,2,37,1101,1111,5.3,65,73,81,2,76,35,70.7
7.2,0,7,100,1774,1641,25.1,42,53,77,2,38,52,80.35
7.6,1,3,57,1810,2150,30.6,42,65,77,2,54,56,76.66
8.1,3,2,46,1548,1294,17.7,90,71,75,0,78,18,85.56
5.6,0,3,73,1150,0,6.9,76,46,83,2,36,60,63.49
6.9,5,4,52,0,900,2.8,52,31,92,1,91,63,78.47
8.5,0,3,38,1590,1919,26.1,92,68,67,2,69,62,84.51
6.0,2,1,40,0,900,2.8,74,54,86,1,41,49,65.05
7.9,1,0,17,1692,0,20.9,66,53,100,1,57,64,68.22
5.9,1,8,100,1492,1545,18.4,47,61,68,1,68,60,81.0
8.1,3,1,21,1764,0,21.8,22,73,87,1,72,28,70.55
7.5,1,5,67,0,900,1.3,44,27,76,1,99,70,72.97
5.6,1,1,20,1550,1295,16.2,51,58,63,1,57,59,60.39
8.9,0,3,45,1591,1864,24.8,38,64,60,3,97,80,85.83
6.6,0,1,17,0,900,1.9,62,53,85,2,73,53,58.87
6.5,0,1,30,1944,0,25.0,23,69,65,1,71,86,63.75
7.7,2,1,33,1352,955,7.8,83,32,86,3,70,69,75.25
8.9,0,1,13,1029,984,7.0,51,19,79,3,51,81,62.39
6.3,0,1,35,1449,0,14.0,73,32,97,0,60,46,57.78
7.6,1,3,26,1330,0,9.7,73,73,68,3,70,74,74.44
8.0,2,2,41,1073,1056,7.0,37,55,67,0,64,58,67.55
8.3,2,8,100,1686,0,17.4,28,60,89,0,79,60,89.58
7.7,0,2,32,1500,0,15.9,48,89,75,2,57,73,70.17
7.1,0,5,70,953,900,5.7,66,67,87,1,44,49,69.82
6.5,4,3,42,1963,0,25.2,62,75,91,1,45,25,81.67
7.6,1,2,26,1281,1014,7.1,80,61,93,2,55,79,70.85
6.2,3,3,46,1315,0,10.4,67,23,65,1,43,47,69.01
4.0,3,3,37,1782,2137,31.8,68,47,74,3,73,56,69.99
8.0,2,3,63,1628,1916,23.2,45,50,60,0,92,53,75.35
8.6,0,2,2,1827,0,22.0,55,52,90,3,54,58,65.69
4.7,3,5,67,846,0,4.4,55,59,76,4,96,72,77.69
6.3,2,3,17,0,0,1.5,71,22,54,1,91,14,60.29
8.2,1,2,18,1414,1568,16.2,73,52,89,0,38,59,66.82
10.0,1,3,37,1540,1287,16.3,55,62,87,2,67,75,81.85
7.5,1,4,78,0,900,2.1,56,72,68,2,45,58,77.24
6.6,0,4,75,1890,1648,25.7,66,92,76,1,25,66,77.89
7.3,1,0,11,1246,1603,16.6,94,27,84,3,62,55,65.25
